Text;Size;Color;Angle;Font;Repeat;URL
Graph;3;ffa500;Random;Random;Yes;
Systems Thinking;3;ffa500;Random;Random;Yes;
Analytics;1;Random;Random;Random;Yes;
Data Science;1;0000ff;Random;Random;Yes;
Semantics;1;Random;Random;Random;Yes;
Unintended Consequences;1;ff0000;Random;Random;Yes;
Machine Learning;1;0000ff;Random;Random;Yes;
Feedback;1;800080;Random;Random;Yes;
Embeddings;1;Random;Random;Random;Yes;
Knowledge Triangle;1;Random;Random;Random;Yes;
Data;1;Random;Random;Random;Yes;
Information;1;Random;Random;Random;Yes;
Knowledge;1;Random;Random;Random;Yes;
Concepts;1;008080;Random;Random;Yes;
Inference;1;Random;Random;Random;Yes;
Enterprise Knowledge Graphs;1;Random;Random;Random;Yes;
Scale out;1;Random;Random;Random;Yes;
High Availability;1;Random;Random;Random;Yes;
Complexity;1;Random;Random;Random;Yes;
Vertex;1;Random;Random;Random;Yes;
Edge;1;Random;Random;Random;Yes;
Relationships;1;Random;Random;Random;Yes;
Networks;1;Random;Random;Random;Yes;
Simulations;1;Random;Random;Random;Yes;
Complex Adaptive Systems;1;Random;Random;Random;Yes;
Discovery;1;Random;Random;Random;Yes;
High Availability;1;Random;Random;Random;Yes;
