ConceptID,ConceptLabel,DependancyList,TaxonomyID
1,System,2|3|10,1
2,Element,,1
3,Boundary,2,2
4,Input,2|3,2
5,Output,2|3,2
6,Process,4|5,2
7,Structure,2|3,2
8,Function,7,2
9,Behavior,6|8,3
10,Interaction,2|9,1
11,Component,2,2
12,Environment,3,2
13,Feedback,5|9,3
14,Stock,2|5,3
15,Flow,4|5,3
16,Feedback Loop,13|15,3
17,Delay,16,3
18,Causality,4|5,3
19,Causal Loop,18|16,3
20,Balancing Loop,16,3
21,Reinforcing Loop,16,3
22,Nonlinearity,19|21,5
23,Dynamics,6|22,3
24,Emergence,9|22,5
25,Leverage Point,24,6
26,Mental Model,9,7
27,Archetype,26,10
28,Complexity,22|23,5
29,Self-Organization,24|28,5
30,Adaptation,29,5
31,Resilience,30,5
32,Sustainability,31|25,8
33,Holism,1,1
34,Reductionism,2,1
35,Open System,1|12,1
36,Closed System,1,1
37,System Map,1|9,4
38,Modeling,37,4
39,Simulation,38,4
40,Diagramming,37,4
41,Stocks-Flows,14|15,4
42,Rich Picture,37,4
43,Influence Diagram,37,4
44,Systems Analysis,38|40,6
45,Scenario Planning,39|44,6
46,Sensitivity,39,6
47,Stakeholders,12,7
48,Soft Systems,35|47,7
49,Hard Systems,36,6
50,Cybernetics,13|16,9
51,Control,50,9
52,Homeostasis,51,9
53,Positive Feedback,13|21,9
54,Negative Feedback,13|20,9
55,Time Delay,17,3
56,Path Dependence,55,3
57,Systemic Risk,28|46,6
58,Failure Modes,57,6
59,Risk Management,58,6
60,Interdependence,10|47,7
61,Synergy,60,7
62,Systems Approach,1|33,1
63,Systems Design,62,6
64,Systems Engineering,63,6
65,Systems Management,64,6
66,Systems Theory,62,1
67,General Systems,66,1
68,Holistic Thinking,33,1
69,Intervention,65,6
70,Systemic Change,69,6
71,Circular Economy,32|70,8
72,Life Cycle,71,8
73,Network Theory,10,5
74,Network Analysis,73,4
75,Small-World Network,73,5
76,Scale-Free Network,73,5
77,Social Network,73,7
78,Agent-Based Model,39,4
79,Emergent Behavior,24|78,5
80,Adaptive Management,30|65,6
81,System of Systems,1|11,6
82,Purpose,8,6
83,Goals,82,6
84,Constraints,3|82,6
85,Optimization,84,6
86,Learning Org,80,7
87,Org Learning,86,7
88,Systems Leadership,87,7
89,Visualization,40,4
90,Leverage Analysis,25|89,6
91,Root Cause,18|44,6
92,Problem Framing,91,6
93,Wicked Problems,28|92,7
94,Complex Problems,28,5
95,Complicated Problems,94,5
96,Simple Problems,94,5
97,Systems Mindset,68,1
98,Iteration,6,6
99,Adaptive Cycle,98,5
100,Panarchy,99,5
101,Transdisciplinary,66,1
102,Cross-Scale,100,5
103,Scale,102,5
104,Thresholds,103,5
105,Tipping Point,104,5
106,Bifurcation,105,5
107,Phase Transition,106,5
108,Non-Equilibrium,107,5
109,Fractals,108,5
110,Self-Similarity,109,5
111,Network Effects,73,5
112,Robustness,31,5
113,Antifragility,112,5
114,Trade-Offs,85,6
115,Unintended Effects,18|114,6
116,Innovation,113,7
117,Value Chain,116,8
118,Supply Chain,117,8
119,Demand Chain,117,8
120,Ecosystem,12|81,8
121,Sociotechnical,48,7
122,Human Factors,121,7
123,Cognitive Bias,26,7
124,Heuristics,123,7
125,Decision-Making,124,7
126,Behavioral Econ,125,8
127,Game Theory,126,8
128,Nash Equilibrium,127,8
129,Prisoner's Dilemma,128,8
130,Cooperation,129,7
131,Competition,129,7
132,Coevolution,130|131,5
133,Evolutionary Dyn,132,5
134,Genetic Algorithms,133,4
135,Machine Learning,134,4
136,AI,135,8
137,Cyber-Physical,136,8
138,IoT,137,8
139,Big Data,138,4
140,Data-Driven,139,4
141,Info Systems,140,8
142,Knowledge Mgmt,141,7
143,Org Systems,142,7
144,Cultural Systems,143,8
145,Social Systems,77,8
146,Economic Systems,126,8
147,Political Systems,145,8
148,Environmental Sys,120,8
149,Technological Sys,138,8
150,Biological Systems,148,8
151,Ecological Systems,150,8
152,Feedback Control,51,9
153,System ID,152,9
154,Control Systems,153,9
155,Info Theory,141,9
156,Entropy,155,9
157,Signal Processing,156,9
158,Noise,157,9
159,Robust Control,154,9
160,Adaptive Control,159,9
161,Predictive Control,160,9
162,Linear Systems,154,9
163,Nonlinear Systems,162,9
164,Discrete Systems,162,9
165,Continuous Systems,162,9
166,Hybrid Systems,164|165,9
167,Systems Integration,81|63,6
168,Cybernetics,50,9
169,Chaos,163,5
170,Butterfly Effect,169,5
171,Systems Dynamics,23,3
172,Modeling Tools,171,4
173,Simulation Tools,172,4
174,Systems Thinking,97,1
175,Mental Models,26,7
176,System Archetypes,27,10
177,Limits to Growth,176,10
178,Tragedy Commons,176,10
179,Shifting Burden,176,10
180,Fixes Fail,176,10
181,Growth Underinvest,176,10
182,Success to Successful,176,10
183,Escalation,176,10
184,Drifting Goals,176,10
185,Accidental Adversaries,176,10
186,Attractors,169,5
187,Resilient Systems,31,5
188,Sustainability,32,8
189,Life Cycle Analysis,72,6
190,Network Effects,111,5
191,Systems Mapping,37,4
192,Systems Visualization,89,4
193,Leverage Points,25,6
194,Root Cause Analysis,91,6
195,Systems Optimization,85,6
196,Systems Failure,58,6
197,Systems Innovation,116,7
198,Systems Integration,167,6
199,Systems Transformation,70,6
200,Systems Leadership,88,7
